x, y, z 
-0.04, -0.05, -0.98
-0.04, 0.01, -0.99
-0.05, 0.02, -0.99
-0.06, 0.02, -0.99
-0.04, 0.02, -1.00
-0.06, 0.02, -0.98
-0.05, 0.00, -1.00
-0.05, 0.03, -0.99
-0.01, 0.01, -1.00
0.03, 0.05, -1.05
-0.03, -0.01, -0.97
-0.06, -0.01, -0.98
-0.03, -0.05, -1.00
-0.04, 0.03, -1.01
-0.56, -2.26, -0.95
-0.03, -0.04, -1.00
-0.05, 0.00, -0.99
-0.06, 0.02, -0.99
-0.05, 0.01, -0.99
-0.04, -0.00, -0.99
-0.40, 0.86, -0.98
-0.18, 1.54, -0.95
-0.06, 0.03, -1.00
-0.05, -0.01, -1.00
-0.04, 0.00, -0.98
-0.04, -0.01, -0.99
-0.05, 0.01, -1.00
-0.05, 0.05, -1.00
-0.16, -1.34, -0.97
0.19, -0.75, -1.00
-0.05, -0.00, -1.00
-0.05, -0.00, -0.99
-0.02, -0.01, -1.00
-0.03, -0.01, -0.97
-0.04, 0.01, -1.03
0.00, -0.07, -0.99
-0.05, -0.01, -0.96
0.36, -1.82, -0.91
-0.04, -0.02, -0.97
-0.03, 0.01, -1.00
-0.04, 0.03, -0.99
-0.04, 0.02, -0.99
-0.04, -0.00, -1.00
0.05, 3.08, -1.04
-0.19, 0.24, -1.02
-0.06, 0.02, -0.99
-0.04, 0.02, -1.00
-0.04, 0.01, -1.00
-0.04, 0.02, -0.99
-0.05, 0.01, -0.98
-0.06, 0.03, -1.01
0.37, -1.12, -0.95
-0.29, -1.69, -1.00
-0.05, -0.01, -0.99
-0.04, 0.01, -1.01
-0.05, -0.01, -1.02
-0.04, 0.01, -0.99
-0.15, 1.80, -1.03
0.23, 1.70, -1.00
-0.09, 0.04, -1.01
-0.04, 0.00, -0.98
-0.05, 0.01, -1.00
-0.06, -0.00, -1.02
0.01, -1.14, -0.97
0.39, 0.38, -1.10
-0.06, -0.01, -1.02
-0.05, 0.02, -1.01
-0.05, 0.01, -1.01
-0.68, 1.32, -1.03
0.08, 1.45, -1.02
-0.05, -0.00, -1.00
-0.04, -0.02, -1.01
-0.04, 0.01, -0.99
-0.05, 0.01, -1.01
-0.03, -0.01, -1.00
-0.04, 0.01, -1.01
-0.00, 0.01, -1.01
-0.31, 1.87, -0.99
-0.02, 1.69, -1.04
-0.06, 0.05, -1.00
-0.05, 0.00, -1.01
-0.06, 0.01, -0.99
0.46, 2.05, -0.99
-0.07, 0.02, -1.02
-0.05, 0.02, -1.00
-0.05, 0.01, -1.01
0.22, 1.07, -1.04
-0.43, 2.39, -1.03
-0.05, -0.01, -0.99
-0.04, 0.01, -1.00
-0.05, -0.01, -1.01
-0.05, -0.02, -1.01
-0.04, -0.01, -1.01
-0.12, -1.10, -0.87
-0.04, -1.72, -1.01
-0.27, -1.68, -0.98
0.05, -0.36, -0.94
-0.24, 3.92, -1.05
-0.20, 0.25, -0.99
-0.04, 0.01, -1.02
-0.04, 0.01, -1.00
-0.07, -0.01, -1.01
-0.04, -0.03, -1.01
-0.03, -0.01, -0.99
-0.04, -0.01, -1.02
-0.07, -0.03, -0.99
0.20, -1.41, -0.95
-0.06, 0.05, -0.98
-0.04, -0.01, -1.01
-0.06, 0.01, -1.00
-0.06, 0.01, -1.00
-0.06, -0.05, -1.00
-0.10, -1.89, -0.94
-0.21, 0.61, -1.02
0.16, 0.89, -1.02
-0.04, 0.01, -1.02
-0.00, -0.01, -1.00
-0.04, 0.01, -1.00
-0.07, 0.00, -1.00
-0.04, 0.01, -1.00
-0.04, -0.03, -1.00
-0.05, 0.01, -1.00
-0.04, 0.01, -1.00
-0.03, -0.00, -1.01
-0.06, 0.01, -1.00
-0.27, -2.05, -1.00
-0.01, -0.06, -1.00
0.86, -1.49, -1.08
-0.01, 1.45, -1.02
-0.40, 1.73, -1.09
-0.05, 0.35, -1.04
-0.06, -0.01, -1.04
-0.07, 0.02, -1.00
-0.05, -0.02, -1.01
-0.02, 0.02, -1.00
-0.07, 0.06, -0.97
-0.08, -0.09, -0.99
-0.46, -2.31, -0.97
0.06, 1.37, -1.05
-0.25, 0.51, -1.02
-0.17, 1.48, -1.02
-0.05, -0.01, -1.01
-0.04, -0.03, -1.00
-0.03, -0.00, -1.00
